record_id,customer_id,timestamp,call_type,call_duration_seconds,called_number,call_cost,tower_id,network
1,308454,2025-07-21 23:11:48.047193,incoming,143,9852473369,1.3755,TWR9376,VoLTE
2,915158,2025-01-15 01:55:24.865930,outgoing,216,9898692972,0.466,TWR1444,4G
3,555331,2025-04-03 00:53:09.782687,incoming,581,9806828835,1.7645,TWR2864,VoLTE
4,175002,2025-11-18 19:53:01.736954,outgoing,352,9815847208,1.9668,TWR9883,4G
5,925739,2025-06-22 21:20:54.778246,outgoing,758,9832436001,0.1254,TWR5754,5G
6,749598,2025-10-17 18:28:30.493745,incoming,677,9882475558,0.5501,TWR9627,4G
7,678319,2025-11-15 10:56:16.600726,outgoing,109,9855821646,0.9961,TWR1279,4G
8,465145,2025-03-14 10:06:12.225689,incoming,756,9879799882,0.3011,TWR7460,5G
9,403789,2025-04-08 09:06:12.683199,incoming,138,9831019336,0.698,TWR7121,5G
10,283038,2025-03-17 08:10:12.779881,incoming,193,9872988360,0.4619,TWR2067,4G
11,432433,2025-09-08 07:19:00.398330,incoming,66,9854386570,1.1068,TWR7451,5G
12,628042,2025-11-06 10:06:18.301529,incoming,246,9803206320,1.302,TWR9814,5G
13,372473,2025-11-20 17:47:23.776286,incoming,507,9837596335,1.9691,TWR3482,5G
14,579609,2025-09-17 14:32:55.687679,incoming,750,9816988543,1.9104,TWR2105,VoLTE
15,841537,2025-02-18 04:09:58.650530,incoming,617,9811122299,0.7275,TWR7415,5G
16,516437,2025-05-14 12:33:41.266270,outgoing,537,9899367690,1.7475,TWR6470,4G
17,379478,2025-06-26 23:06:21.764810,outgoing,87,9852416276,0.8565,TWR7188,VoLTE
18,114606,2025-03-04 06:49:58.708255,outgoing,572,9826612249,1.8764,TWR6033,4G
19,596113,2024-11-28 00:12:41.014138,incoming,633,9821303893,1.6831,TWR3716,VoLTE
20,378050,2025-02-16 23:05:33.206620,incoming,140,9884033312,1.2703,TWR9101,5G
21,104584,2025-07-31 21:39:35.432865,incoming,83,9812715573,0.1787,TWR6994,5G
22,397375,2025-06-19 05:14:06.455962,incoming,125,9851335233,1.8483,TWR9810,5G
23,910089,2025-09-13 08:20:37.718529,outgoing,42,9802119436,0.2346,TWR5919,VoLTE
24,610169,2025-03-01 04:57:32.863789,outgoing,493,9815867850,0.6398,TWR4919,4G
25,569383,2025-05-20 05:03:21.905171,outgoing,501,9880670668,1.6866,TWR3219,VoLTE
26,108763,2025-01-07 16:59:35.723680,incoming,465,9800010356,0.2144,TWR6465,5G
27,838919,2025-08-02 14:39:40.875018,outgoing,163,9804927433,0.5546,TWR4920,5G
28,343147,2025-06-17 07:47:23.056266,outgoing,514,9801622436,0.8596,TWR4895,VoLTE
29,298832,2024-11-26 05:31:34.767986,incoming,739,9829736071,0.6456,TWR1731,4G
30,823102,2025-09-14 18:34:43.363790,incoming,328,9850084873,0.6705,TWR1152,5G
31,232323,2024-12-26 09:53:29.536741,outgoing,350,9842478575,0.2226,TWR8402,4G
32,435218,2025-06-18 02:52:49.941073,outgoing,381,9829518860,1.7644,TWR2322,VoLTE
33,840400,2025-01-27 20:30:16.256355,outgoing,683,9837669058,0.6765,TWR5550,VoLTE
34,657736,2025-04-30 01:03:54.356908,outgoing,192,9884960821,1.3976,TWR9446,5G
35,253598,2025-04-22 08:23:38.942347,incoming,698,9814747349,0.722,TWR1004,VoLTE
36,204115,2025-09-22 01:03:37.002674,outgoing,45,9812786169,1.5143,TWR7464,VoLTE
37,144293,2025-05-09 13:18:19.785938,incoming,2,9888584790,1.1189,TWR5137,5G
38,355911,2025-10-06 03:45:05.345428,incoming,792,9860203972,1.3055,TWR1182,VoLTE
39,349647,2025-06-14 14:09:30.996471,incoming,719,9861956447,1.4052,TWR6008,5G
40,216467,2025-03-14 13:29:48.487052,incoming,12,9804776700,0.7136,TWR1918,5G
41,191192,2024-12-11 12:34:03.880006,incoming,148,9845679846,1.1237,TWR6023,5G
42,377258,2025-11-15 15:50:09.707304,incoming,736,9865070741,1.9407,TWR9266,4G
43,286435,2025-06-11 10:21:21.975392,outgoing,361,9877791400,0.1655,TWR2190,5G
44,973937,2025-06-19 03:16:07.176412,incoming,746,9849981926,1.9188,TWR8162,5G
45,100784,2025-09-12 14:03:28.369457,outgoing,354,9874040500,0.2648,TWR9744,4G
46,138303,2025-10-20 16:38:51.875696,outgoing,676,9873978301,1.4112,TWR1288,VoLTE
47,304290,2025-02-23 17:48:47.764299,incoming,587,9827196393,1.0442,TWR5576,5G
48,678115,2025-08-10 03:25:49.044799,outgoing,563,9893883591,1.1972,TWR7943,VoLTE
49,210336,2025-02-21 02:14:50.729238,outgoing,202,9868493259,1.2021,TWR7869,4G
50,965916,2025-05-01 19:13:53.971046,incoming,512,9876572253,1.6689,TWR1465,5G
51,631721,2025-10-10 20:58:19.031472,incoming,416,9866525031,0.1685,TWR3976,4G
52,709752,2025-04-20 13:19:41.275382,incoming,332,9889440114,1.9128,TWR8547,5G
53,143736,2025-10-13 19:17:47.635531,incoming,481,9854842623,1.2674,TWR7203,5G
54,594770,2025-03-01 21:17:06.030897,incoming,728,9815575282,1.1258,TWR3847,VoLTE
55,971326,2025-08-20 23:53:07.301615,outgoing,202,9848399784,0.678,TWR5335,4G
56,764114,2025-05-27 22:06:28.077820,incoming,724,9875651991,1.6227,TWR7291,5G
57,275160,2025-07-15 20:24:58.093088,incoming,627,9878010892,1.6546,TWR8030,VoLTE
58,118459,2025-04-03 02:54:12.039006,incoming,660,9877851210,0.9023,TWR2251,VoLTE
59,218847,2025-02-02 00:41:45.564957,incoming,358,9887111427,1.322,TWR5348,4G
60,310581,2025-08-30 12:27:38.926200,outgoing,196,9804432326,1.556,TWR9174,VoLTE
61,660760,2025-04-18 03:54:06.687118,incoming,199,9821560870,1.8505,TWR8864,VoLTE
62,503342,2025-01-23 23:32:26.350144,incoming,247,9876053713,1.0757,TWR3463,VoLTE
63,948843,2025-04-05 00:00:19.752163,incoming,719,9868143505,0.181,TWR7242,4G
64,628042,2025-09-26 17:05:44.126921,outgoing,215,9899437290,1.7793,TWR6926,4G
65,138039,2025-07-16 21:04:00.732139,outgoing,290,9867862324,0.4805,TWR1674,4G
66,469053,2024-11-28 16:50:25.499974,incoming,464,9829121352,1.6776,TWR7641,4G
67,367790,2025-08-26 07:34:17.351927,incoming,619,9861623701,1.6824,TWR7201,4G
68,580293,2025-02-01 21:55:19.339909,outgoing,150,9856033812,1.2047,TWR2272,4G
69,797152,2025-07-01 20:42:48.108665,outgoing,752,9838042133,0.8298,TWR4870,4G
70,695028,2025-04-22 08:00:58.972855,outgoing,590,9816269910,1.9146,TWR6684,5G
71,329922,2024-12-24 12:00:45.877121,incoming,531,9815191208,1.8734,TWR1674,VoLTE
72,477068,2025-11-22 05:25:57.588565,outgoing,578,9888339157,1.3,TWR1931,5G
73,210528,2025-11-10 22:36:51.574757,incoming,516,9827866462,0.1925,TWR5926,5G
74,367922,2025-06-04 20:45:46.713199,outgoing,196,9892325423,0.5504,TWR4010,5G
75,526319,2025-09-19 09:24:46.865990,incoming,25,9892615646,0.3978,TWR6616,VoLTE
76,749132,2025-02-02 19:08:38.483609,outgoing,746,9824062994,0.3129,TWR9811,VoLTE
77,246935,2025-09-29 12:03:23.913212,outgoing,601,9827623981,0.2002,TWR1739,VoLTE
78,217884,2024-12-31 18:44:43.688771,outgoing,376,9812058161,0.6301,TWR7184,5G
